Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Baylor,1,East,0.892331,0.71547,0.49878,0.000377,0.395512,0.184054
Norfolk State,16,East,0.107669,0.022099,0.004478,0.0,0.002324,6e-06
North Carolina,8,East,0.562966,0.196133,0.077082,0.000462,0.006391,6.8e-05
Marquette,9,East,0.437034,0.066298,0.037501,8e-06,0.004189,1e-06
Saint Mary's,5,East,0.590199,0.271318,0.095242,2.5e-05,0.005532,0.000469
Indiana,12,East,0.409801,0.135659,0.02217,1e-06,0.003597,0.0
UCLA,4,East,0.85973,0.453488,0.19374,0.000191,0.015537,0.00166
Akron,13,East,0.14027,0.139535,0.071007,0.530433,0.015814,5.1e-05
Texas,6,East,0.573424,0.172691,0.059461,5e-05,0.005198,0.000626
Virginia Tech,11,East,0.426576,0.248996,0.097952,0.000476,0.011037,0.000323
Purdue,3,East,0.824163,0.566265,0.27494,8e-06,0.025774,0.000227
Yale,14,East,0.175837,0.012048,0.007392,0.0,0.00411,0.0
Murray State,7,East,0.503194,0.189655,0.124227,0.466925,0.016486,0.011975
San Francisco,10,East,0.496806,0.175862,0.075254,1.9e-05,0.013921,0.164592
Kentucky,2,East,0.824575,0.582759,0.339872,0.001024,0.087149,0.046835
Saint Peter's,15,East,0.175425,0.051724,0.020902,2e-06,0.004139,0.0
Gonzaga,1,West,0.886467,0.735376,0.554988,0.601353,0.26955,0.047078
Georgia State,16,West,0.113533,0.027855,0.028812,0.000322,0.007174,0.0
Boise State,8,West,0.590793,0.142061,0.038404,0.112421,0.004351,2e-06
Memphis,9,West,0.409207,0.094708,0.046568,0.000619,0.002821,4e-05
Connecticut,5,West,0.716103,0.385214,0.094639,0.020494,0.001577,6.9e-05
New Mexico State,12,West,0.283897,0.089494,0.045688,0.006805,0.001945,0.0
Arkansas,4,West,0.658797,0.338521,0.126545,0.015299,0.012717,5e-05
Vermont,13,West,0.341203,0.18677,0.064355,0.005043,0.010283,4.1e-05
Alabama,6,West,0.553779,0.151786,0.055491,0.000185,0.004803,0.000272
Notre Dame,11,West,0.446221,0.285714,0.073927,0.015611,0.003273,0.0
Texas Tech,3,West,0.786144,0.482143,0.212486,0.002369,0.00919,1.3e-05
Montana State,14,West,0.213856,0.080357,0.016132,6.7e-05,0.002398,0.0
Michigan State,7,West,0.529259,0.101408,0.048381,0.010407,0.003484,1e-06
Davidson,10,West,0.470741,0.129577,0.098596,0.004052,0.002855,1e-06
Duke,2,West,0.895763,0.76338,0.489664,0.204818,0.040845,0.004713
Cal State Fullerton,15,West,0.104237,0.005634,0.005323,0.000136,0.006022,0.0
Kansas,1,Midwest,0.818973,0.651246,0.522916,0.002574,0.247573,0.006254
Texas Southern,16,Midwest,0.181027,0.064057,0.011432,0.000205,0.006753,0.0
San Diego State,8,Midwest,0.569142,0.16726,0.079762,0.003427,0.008199,0.000947
Creighton,9,Midwest,0.430858,0.117438,0.052609,0.008503,0.005949,1e-06
Iowa,5,Midwest,0.69254,0.514451,0.155809,0.002105,0.013813,0.123708
Richmond,12,Midwest,0.30746,0.063584,0.036658,0.005391,0.004651,0.0
Providence,4,Midwest,0.663705,0.277457,0.106129,0.001716,0.020739,3.6e-05
South Dakota State,13,Midwest,0.336295,0.144509,0.034686,0.000404,0.016061,0.0
LSU,6,Midwest,0.543825,0.388601,0.130946,0.003287,0.021282,5e-06
Iowa State,11,Midwest,0.456175,0.119171,0.049743,9.5e-05,0.006333,0.000126
Wisconsin,3,Midwest,0.784091,0.378238,0.189896,0.001048,0.009726,2.4e-05
Colgate,14,Midwest,0.215909,0.11399,0.048242,0.000574,0.010834,6.7e-05
USC,7,Midwest,0.707352,0.248031,0.055756,0.018837,0.005684,3.3e-05
Miami FL,10,Midwest,0.292648,0.11811,0.078688,0.005242,0.015736,6e-06
Auburn,2,Midwest,0.845952,0.535433,0.392662,0.946361,0.08968,0.013692
Jacksonville State,15,Midwest,0.154048,0.098425,0.054067,0.000233,0.008429,0.000521
Arizona,1,South,0.869781,0.816092,0.467452,0.001728,0.137129,0.106793
Wright State,16,South,0.130219,0.031609,0.01327,3e-05,0.008037,0.0
Seton Hall,8,South,0.45761,0.114943,0.089938,8.8e-05,0.011306,0.000105
TCU,9,South,0.54239,0.037356,0.027577,7e-06,0.009955,7.1e-05
Houston,5,South,0.720935,0.54908,0.161165,0.000266,0.02091,0.009564
UAB,12,South,0.279065,0.067485,0.046933,0.000176,0.003558,0.016705
Illinois,4,South,0.68916,0.303681,0.151863,0.000155,0.087642,0.000658
Chattanooga,13,South,0.31084,0.079755,0.041803,2.9e-05,0.00978,0.0
Colorado State,6,South,0.569558,0.084871,0.117981,0.000781,0.012717,0.000486
Michigan,11,South,0.430442,0.158672,0.068357,0.000874,0.019163,0.006453
Tennessee,3,South,0.866165,0.667897,0.342819,0.993919,0.125135,0.249671
Longwood,14,South,0.133835,0.088561,0.014122,0.0,0.008186,0.0
Ohio State,7,South,0.35615,0.149758,0.082052,6.4e-05,0.006544,0.0
Loyola Chicago,10,South,0.64385,0.231884,0.069544,0.00025,0.005435,0.000743
Villanova,2,South,0.859584,0.584541,0.291073,0.000442,0.037791,0.000167
Delaware,15,South,0.140416,0.033816,0.014051,0.001191,0.005269,0.0
