Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Villanova,1,South,0.92835,0.736486,0.405372,0.460027,0.18459,0.23829
Radford,16,South,0.07165,0.037162,0.037376,0.000105,0.006355,0.0
Virginia Tech,8,South,0.475316,0.121622,0.042193,4.4e-05,0.002372,2e-06
Alabama,9,South,0.524684,0.10473,0.070851,0.004456,0.003979,0.0
West Virginia,5,South,0.752873,0.399293,0.105686,0.001153,0.004195,0.000186
Murray State,12,South,0.247127,0.077739,0.07353,0.000204,0.002586,9e-06
Wichita State,4,South,0.894877,0.448763,0.22864,9.7e-05,0.007968,1.5e-05
Marshall,13,South,0.105123,0.074205,0.036352,0.000653,0.008008,1e-06
Florida,6,South,0.707915,0.302239,0.131378,0.002869,0.004955,0.00054
Saint Bonaventure,11,South,0.292085,0.11194,0.106629,4.9e-05,0.002797,0.0
Texas Tech,3,South,0.817206,0.541045,0.167309,0.000355,0.015047,0.00012
Stephen F Austin,14,South,0.182794,0.044776,0.028377,0.000132,0.00444,0.0
Arkansas,7,South,0.412786,0.153392,0.074117,0.000489,0.003936,0.0
Butler,10,South,0.587214,0.182891,0.089094,0.000253,0.004058,1e-06
Purdue,2,South,0.910887,0.631268,0.389387,0.528942,0.104484,0.023003
Cal State Fullerton,15,South,0.089113,0.032448,0.013709,0.000172,0.003772,0.0
Xavier,1,East,0.916581,0.617363,0.384308,0.588062,0.064413,0.026465
Texas Southern,16,East,0.083419,0.045016,0.006071,0.000171,0.018121,0.0
Missouri,8,East,0.504641,0.176849,0.088108,0.202473,0.012194,3e-06
Florida State,9,East,0.495359,0.160772,0.047667,0.001796,0.010028,0.010951
Ohio State,5,East,0.821653,0.308789,0.10605,0.000381,0.014871,6e-06
South Dakota State,12,East,0.178347,0.087886,0.056949,0.003953,0.015982,1e-06
Gonzaga,4,East,0.753508,0.553444,0.278451,0.024607,0.025994,0.045793
UNC Greensboro,13,East,0.246492,0.049881,0.032395,9.4e-05,0.027492,0.0
Houston,6,East,0.637444,0.214286,0.110815,0.000287,0.043767,0.0
San Diego State,11,East,0.362556,0.109023,0.084633,0.001186,0.014661,0.000642
Michigan,3,East,0.827241,0.639098,0.238109,0.077355,0.062657,4.7e-05
Montana,14,East,0.172759,0.037594,0.021911,0.00012,0.008661,0.0
Texas A&M,7,East,0.624429,0.169231,0.094102,0.076332,0.025003,0.009841
Providence,10,East,0.375571,0.061538,0.036599,0.001006,0.005989,0.0
North Carolina,2,East,0.887585,0.723077,0.398882,0.021909,0.047758,0.261612
Lipscomb,15,East,0.112415,0.046154,0.014949,0.000272,0.014776,0.0
Kansas,1,Midwest,0.822147,0.605536,0.393723,0.003871,0.028356,0.153509
Penn,16,Midwest,0.177853,0.038062,0.019013,0.000269,0.002467,0.0
Seton Hall,8,Midwest,0.599923,0.224914,0.058308,0.005339,0.003333,0.003682
North Carolina State,9,Midwest,0.400077,0.131488,0.099559,0.002919,0.003966,1e-06
Clemson,5,Midwest,0.569772,0.450382,0.1209,0.000326,0.026854,0.001136
New Mexico State,12,Midwest,0.430228,0.171756,0.075919,0.571412,0.003876,0.0
Auburn,4,Midwest,0.863765,0.354962,0.204742,0.016866,0.009239,1.2e-05
Charleston,13,Midwest,0.136235,0.022901,0.027836,7e-06,0.002362,4e-06
TCU,6,Midwest,0.591661,0.15528,0.057699,0.000411,0.007233,4e-06
Syracuse,11,Midwest,0.408339,0.26087,0.084857,0.012854,0.015285,0.0
Michigan State,3,Midwest,0.887185,0.568323,0.271395,0.004376,0.02941,0.005713
Bucknell,14,Midwest,0.112815,0.015528,0.01177,0.000354,0.001821,0.0
Rhode Island,7,Midwest,0.594973,0.115987,0.057104,1e-06,0.004281,0.0
Oklahoma,10,Midwest,0.405027,0.137931,0.065506,0.001816,0.005386,2.2e-05
Duke,2,Midwest,0.94951,0.721003,0.447515,0.37916,0.489013,0.060896
Iona,15,Midwest,0.05049,0.025078,0.004154,1.9e-05,0.003574,0.0
Virginia,1,West,0.928475,0.699248,0.390987,0.00183,0.091211,0.146479
UMBC,16,West,0.071525,0.037594,0.025673,0.000586,0.011102,0.0
Creighton,8,West,0.536204,0.169173,0.099348,0.004792,0.008244,1e-06
Kansas State,9,West,0.463796,0.093985,0.041636,0.000198,0.004863,0.0
Kentucky,5,West,0.72341,0.252788,0.095061,0.044283,0.020633,0.002743
Davidson,12,West,0.27659,0.263941,0.106723,0.021125,0.016417,0.000792
Arizona,4,West,0.781093,0.438662,0.2164,0.001891,0.075976,0.003522
Buffalo,13,West,0.218907,0.04461,0.024172,0.002418,0.006981,0.0
Miami FL,6,West,0.433635,0.110169,0.100393,0.007911,0.010365,2.8e-05
Loyola Chicago,11,West,0.566365,0.177966,0.055844,3e-06,0.017245,0.0
Tennessee,3,West,0.825157,0.70339,0.269288,0.855548,0.027225,0.000136
Wright State,14,West,0.174843,0.008475,0.035404,0.02509,0.008497,0.0
Nevada,7,West,0.535711,0.225166,0.102307,0.003058,0.03308,1e-06
Texas,10,West,0.464289,0.139073,0.07271,0.001781,0.02765,0.000728
Cincinnati,2,West,0.885383,0.599338,0.329753,0.02948,0.21126,0.003065
Georgia State,15,West,0.114617,0.036424,0.034301,6e-06,0.016885,0.0
