Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Connecticut,1,West,0.897133,0.640244,0.437841,0.278558,0.118337,0.133477
Stetson,16,West,0.102867,0.097561,0.030839,0.000206,0.006398,0.0
Florida Atlantic,8,West,0.53305,0.131098,0.067434,0.001773,0.00422,1.4e-05
Northwestern,9,West,0.46695,0.131098,0.036723,0.032551,0.001631,1.7e-05
San Diego State,5,West,0.779819,0.266129,0.111482,0.016217,0.005381,1e-06
UAB,12,West,0.220181,0.120968,0.045585,0.000576,0.003612,5e-06
Auburn,4,West,0.825733,0.427419,0.246482,0.041292,0.102773,0.144536
Yale,13,West,0.174267,0.185484,0.023613,0.00306,0.007499,0.0
BYU,6,West,0.699595,0.402256,0.153153,0.000265,0.008466,0.00099
Duquesne,11,West,0.300405,0.086466,0.055279,0.005386,0.004055,0.0
Illinois,3,West,0.79191,0.379699,0.218348,0.00127,0.012635,0.001595
Morehead State,14,West,0.20809,0.131579,0.035902,0.004724,0.002567,0.0
Washington State,7,West,0.581632,0.248299,0.098704,0.380658,0.0074,2.7e-05
Drake,10,West,0.418368,0.142857,0.063333,0.007986,0.006263,2.5e-05
Iowa State,2,West,0.836811,0.571429,0.347904,0.224858,0.039709,0.062572
South Dakota State,15,West,0.163189,0.037415,0.027377,0.000622,0.003325,0.0
North Carolina,1,East,0.875833,0.555944,0.456446,0.26997,0.215483,0.091705
Wagner,16,East,0.124167,0.059441,0.017438,0.02061,0.007068,0.0
Mississippi State,8,East,0.474031,0.178322,0.056066,0.002057,0.00851,1e-06
Michigan State,9,East,0.525969,0.206294,0.082293,0.163789,0.009349,6.6e-05
Saint Mary's,5,East,0.690449,0.32549,0.147197,0.168927,0.011004,0.001791
Grand Canyon,12,East,0.309551,0.113725,0.037607,0.006095,0.003375,0.0
Alabama,4,East,0.791697,0.513725,0.157206,0.000127,0.020793,0.000186
Charleston,13,East,0.208303,0.047059,0.045747,0.000201,0.004919,0.0
Clemson,6,East,0.4724,0.209524,0.05027,0.001593,0.001957,0.0
New Mexico,11,East,0.5276,0.161905,0.069581,0.000406,0.012233,5e-06
Baylor,3,East,0.802091,0.571429,0.291337,0.021947,0.026865,0.001427
Colgate,14,East,0.197909,0.057143,0.022422,5.2e-05,0.007185,0.0
Dayton,7,East,0.47737,0.168067,0.074037,0.006037,0.033911,3e-06
Nevada,10,East,0.52263,0.095238,0.031501,0.006378,0.001862,0.0
Arizona,2,East,0.909246,0.722689,0.435872,0.331565,0.296837,0.150642
Long Beach State,15,East,0.090754,0.014006,0.02498,0.000248,0.004376,0.0
Purdue,1,Midwest,0.857871,0.557522,0.4924,0.328663,0.149615,0.125931
Grambling,16,Midwest,0.142129,0.039823,0.026819,0.000334,0.004124,0.0
Utah State,8,Midwest,0.405469,0.221239,0.065161,0.000545,0.00637,0.000118
TCU,9,Midwest,0.594531,0.181416,0.056131,0.00127,0.005695,0.000233
Gonzaga,5,Midwest,0.679192,0.529412,0.152631,0.007519,0.020727,0.000569
McNeese,12,Midwest,0.320808,0.156863,0.022737,0.060697,0.009083,0.0
Kansas,4,Midwest,0.724171,0.223529,0.166468,0.067351,0.067839,0.00058
Samford,13,Midwest,0.275829,0.090196,0.017652,0.001318,0.015321,0.0
South Carolina,6,Midwest,0.600276,0.103896,0.047057,0.001053,0.003523,1e-06
Oregon,11,Midwest,0.399724,0.212121,0.059533,0.006194,0.003999,3e-05
Creighton,3,Midwest,0.854401,0.593074,0.332321,0.192357,0.09849,0.009793
Akron,14,Midwest,0.145599,0.090909,0.033808,0.000797,0.004331,0.0
Texas,7,Midwest,0.503242,0.219355,0.063294,0.001204,0.004661,4.3e-05
Colorado State,10,Midwest,0.496758,0.122581,0.056488,0.002133,0.003467,2e-06
Tennessee,2,Midwest,0.785209,0.512903,0.33381,0.322089,0.194924,0.129569
Saint Peter's,15,Midwest,0.214791,0.145161,0.073688,0.006475,0.008324,0.0
Houston,1,South,0.875437,0.611607,0.381877,0.490313,0.103423,0.128602
Longwood,16,South,0.124563,0.049107,0.012734,0.002931,0.005146,0.0
Nebraska,8,South,0.566747,0.116071,0.031961,0.001635,0.007074,2e-06
Texas A&M,9,South,0.433253,0.223214,0.055432,0.017222,0.003994,2e-06
Wisconsin,5,South,0.622758,0.270718,0.126512,0.009875,0.017857,9.7e-05
James Madison,12,South,0.377242,0.049724,0.040097,0.003129,0.013166,0.001056
Duke,4,South,0.794955,0.640884,0.329157,0.194131,0.131409,0.007851
Vermont,13,South,0.205045,0.038674,0.022231,0.002756,0.003618,0.0
Texas Tech,6,South,0.654238,0.285185,0.092358,0.188813,0.014593,1.5e-05
North Carolina State,11,South,0.345762,0.159259,0.044926,0.001338,0.005716,1e-06
Kentucky,3,South,0.845044,0.514815,0.295877,0.002021,0.027842,0.002628
Oakland,14,South,0.154956,0.040741,0.008945,0.008462,0.002307,0.0
Florida,7,South,0.449244,0.215259,0.082531,0.00058,0.012958,5.4e-05
Colorado,10,South,0.550756,0.188011,0.135721,0.034908,0.004793,0.002403
Marquette,2,South,0.864161,0.542234,0.306727,0.039978,0.036478,0.001336
Western Kentucky,15,South,0.135839,0.054496,0.032914,0.001909,0.009133,0.0
