Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Duke,1,West,0.911491,0.491736,0.392659,0.348585,0.130642,0.221452
North Dakota State,16,West,0.088509,0.061983,0.038891,0.000864,0.006041,0.0
VCU,8,West,0.569054,0.247934,0.069467,0.136314,0.004659,0.0
UCF,9,West,0.430946,0.198347,0.094238,0.014215,0.009247,0.003183
Mississippi State,5,West,0.616178,0.435685,0.106987,0.010056,0.021567,0.050976
Liberty,12,West,0.383822,0.049793,0.034224,0.008743,0.005657,0.0
Virginia Tech,4,West,0.797928,0.46888,0.234317,0.159277,0.041699,0.000916
Saint Louis,13,West,0.202072,0.045643,0.029217,0.068183,0.001947,0.0
Maryland,6,West,0.744697,0.35274,0.0754,0.024771,0.008709,0.020278
Belmont,11,West,0.255303,0.14726,0.072377,0.001287,0.005375,0.000156
LSU,3,West,0.76503,0.486301,0.169774,0.012118,0.014438,0.012808
Yale,14,West,0.23497,0.013699,0.011886,0.000922,0.003236,1e-06
Louisville,7,West,0.637888,0.213675,0.174899,0.00072,0.039604,4.8e-05
Minnesota,10,West,0.362112,0.074074,0.062529,0.000655,0.006813,0.00089
Michigan State,2,West,0.915811,0.669516,0.415916,0.16548,0.08038,0.005699
Bradley,15,West,0.084189,0.042735,0.01722,0.047811,0.005742,0.0
Gonzaga,1,East,0.922507,0.728045,0.475755,0.390693,0.291362,0.031478
Fairleigh Dickinson,16,East,0.077493,0.002833,0.006735,0.001178,0.003662,0.0
Syracuse,8,East,0.668409,0.212465,0.109201,0.019693,0.011663,0.000486
Baylor,9,East,0.331591,0.056657,0.098858,0.002217,0.002708,0.0
Marquette,5,East,0.714381,0.25,0.067436,0.001887,0.004318,0.044849
Murray State,12,East,0.285619,0.087302,0.042391,0.106944,0.006238,0.000936
Florida State,4,East,0.829527,0.583333,0.180007,0.009492,0.033445,0.007981
Vermont,13,East,0.170473,0.079365,0.019617,0.032652,0.006575,0.0
Buffalo,6,East,0.759409,0.290456,0.128827,0.002507,0.01752,0.0
Arizona State,11,East,0.240591,0.091286,0.056047,0.002724,0.003775,0.003508
Texas Tech,3,East,0.88463,0.551867,0.258861,0.071701,0.009546,0.005759
Northern Kentucky,14,East,0.11537,0.06639,0.030265,0.001235,0.006253,0.0
Nevada,7,East,0.509462,0.221538,0.101645,0.004067,0.006824,7.5e-05
Florida,10,East,0.490538,0.089231,0.044949,0.015238,0.002665,2e-06
Michigan,2,East,0.890715,0.661538,0.363487,0.332397,0.200619,0.033406
Montana,15,East,0.109285,0.027692,0.015919,0.005375,0.007071,0.0
North Carolina,1,Midwest,0.877741,0.664688,0.352901,0.089511,0.06151,0.057784
Iona,16,Midwest,0.122259,0.023739,0.012681,0.000848,0.006825,0.0
Utah State,8,Midwest,0.600093,0.27003,0.142085,0.013089,0.017714,0.01033
Washington,9,Midwest,0.399907,0.041543,0.048951,0.110304,0.002427,0.0
Auburn,5,Midwest,0.674487,0.430464,0.171795,0.008321,0.011007,0.000991
New Mexico State,12,Midwest,0.325513,0.02649,0.069248,0.027665,0.028165,0.0
Kansas,4,Midwest,0.813151,0.496689,0.165359,0.008187,0.021064,0.003515
Northeastern,13,Midwest,0.186849,0.046358,0.03698,0.001669,0.014845,0.0
Iowa State,6,Midwest,0.575821,0.343234,0.126726,0.119193,0.01351,0.025802
Ohio State,11,Midwest,0.424179,0.075908,0.061517,0.003512,0.004292,1e-06
Houston,3,Midwest,0.884712,0.524752,0.178375,0.124768,0.038417,0.00073
Georgia State,14,Midwest,0.115288,0.056106,0.011586,0.000821,0.008337,0.0
Wofford,7,Midwest,0.664545,0.308989,0.20908,0.054521,0.060301,0.000742
Seton Hall,10,Midwest,0.335455,0.050562,0.037434,0.002333,0.008938,0.353618
Kentucky,2,Midwest,0.850495,0.615169,0.353447,0.397952,0.158371,0.018843
Abilene Christian,15,Midwest,0.149505,0.025281,0.021834,0.037304,0.010301,0.0
Virginia,1,South,0.939353,0.764085,0.451653,0.424161,0.289637,0.013388
Gardner Webb,16,South,0.060647,0.03169,0.015992,0.00377,0.015798,0.0
Mississippi,8,South,0.39411,0.088028,0.078136,0.001952,0.010931,5.3e-05
Oklahoma,9,South,0.60589,0.116197,0.073193,0.001274,0.006172,2e-06
Wisconsin,5,South,0.672792,0.397213,0.071929,0.018475,0.013185,0.00134
Oregon,12,South,0.327208,0.111498,0.076365,0.003459,0.006459,0.003864
Kansas State,4,South,0.743857,0.407665,0.1304,0.01679,0.006914,1e-06
UC Irvine,13,South,0.256143,0.083624,0.102331,0.046828,0.023698,1.6e-05
Villanova,6,South,0.528295,0.195286,0.079272,0.013948,0.003641,0.002002
Saint Mary's,11,South,0.471705,0.205387,0.090059,0.042204,0.018214,0.002268
Purdue,3,South,0.789921,0.518519,0.263052,0.191462,0.063866,0.010614
Old Dominion,14,South,0.210079,0.080808,0.013844,0.00919,0.005532,0.0
Cincinnati,7,South,0.780879,0.255474,0.123348,0.070646,0.015165,2.6e-05
Iowa,10,South,0.219121,0.131387,0.060586,0.000766,0.008791,1.3e-05
Tennessee,2,South,0.884378,0.580292,0.344703,0.153703,0.04107,0.049165
Colgate,15,South,0.115622,0.032847,0.025136,0.001372,0.004905,2e-06
